date,project,downloads
2023-08-23,prophet,65710
2023-08-24,pandas,5132618
2023-08-24,prophet,58064
2023-08-25,pandas,4826419
2023-08-25,prophet,57628
2023-08-26,pandas,3236930
2023-08-26,prophet,34126
2023-08-27,pandas,3060537
2023-08-27,prophet,36893
2023-08-28,pandas,4773228
2023-08-28,prophet,76754
2023-08-29,pandas,5048668
2023-08-29,prophet,62867
2023-08-30,pandas,5107625
2023-08-30,prophet,69168
2023-08-31,pandas,5047940
2023-08-31,prophet,79639
2023-09-01,pandas,4827765
2023-09-01,prophet,60171
2023-09-02,pandas,3208493
2023-09-02,prophet,33837
2023-09-03,pandas,3034437
2023-09-03,prophet,36516
2023-09-04,pandas,4273972
2023-09-04,prophet,54356
2023-09-05,pandas,4977761
2023-09-05,prophet,79055
2023-09-06,pandas,5356149
2023-09-06,prophet,65355
2023-09-07,pandas,5357949
2023-09-07,prophet,70572
2023-09-08,pandas,4904238
2023-09-08,prophet,59667
2023-09-09,pandas,3254130
2023-09-09,prophet,35717
2023-09-10,pandas,3121828
2023-09-10,prophet,38476
2023-09-11,pandas,4887396
2023-09-11,prophet,61654
2023-09-12,pandas,5200788
2023-09-12,prophet,64511
2023-09-13,pandas,5287354
2023-09-13,prophet,65548
2023-09-14,pandas,5133321
2023-09-14,prophet,66222
2023-09-15,pandas,4885435
2023-09-15,prophet,54830
2023-09-16,pandas,3242763
2023-09-16,prophet,34474
2023-09-17,pandas,3068216
2023-09-17,prophet,39269
2023-09-18,pandas,4908471
2023-09-18,prophet,64660
2023-09-19,pandas,5205839
2023-09-19,prophet,78258
2023-09-20,pandas,5362798
2023-09-20,prophet,78594
2023-09-21,pandas,5575261
2023-09-21,prophet,70910
2023-09-22,pandas,5146311
2023-09-22,prophet,61867
2023-09-23,pandas,3405006
2023-09-23,prophet,36888
2023-09-24,pandas,3168646
2023-09-24,prophet,36089
2023-09-25,pandas,5026175
2023-09-25,prophet,78691
2023-09-26,pandas,5424584
2023-09-26,prophet,82213
2023-09-27,pandas,5411797
2023-09-27,prophet,85442
2023-09-28,pandas,5131797
2023-09-28,prophet,61319
2023-09-29,pandas,4856984
2023-09-29,prophet,68381
2023-09-30,pandas,3367216
2023-09-30,prophet,37294
2023-10-01,pandas,3359642
2023-10-01,prophet,39778
2023-10-02,pandas,4841874
2023-10-02,prophet,68958
2023-10-03,pandas,5287183
2023-10-03,prophet,71507
2023-10-04,pandas,5415910
2023-10-04,prophet,76114
2023-10-05,pandas,5401310
2023-10-05,prophet,80909
2023-10-06,pandas,5088911
2023-10-06,prophet,78797
2023-10-07,pandas,3534291
2023-10-07,prophet,45054
2023-10-08,pandas,3380433
2023-10-08,prophet,50925
2023-10-09,pandas,4987698
2023-10-09,prophet,84020
2023-10-10,pandas,5501760
2023-10-10,prophet,92518
2023-10-11,pandas,5468151
2023-10-11,prophet,77769
2023-10-12,pandas,5474932
2023-10-12,prophet,83085
2023-10-13,pandas,5239107
2023-10-13,prophet,75100
2023-10-14,pandas,3479345
2023-10-14,prophet,43472
2023-10-15,pandas,3378513
2023-10-15,prophet,47426
2023-10-16,pandas,5318030
2023-10-16,prophet,77119
2023-10-17,pandas,5812191
2023-10-17,prophet,74416
2023-10-18,pandas,5805096
2023-10-18,prophet,77505
2023-10-19,pandas,5751611
2023-10-19,prophet,67968
2023-10-20,pandas,5428417
2023-10-20,prophet,65602
2023-10-21,pandas,3678338
2023-10-21,prophet,43812
2023-10-22,pandas,3487651
2023-10-22,prophet,43526
2023-10-23,pandas,5132265
2023-10-23,prophet,70543
2023-10-24,pandas,5604196
2023-10-24,prophet,75040
2023-10-25,pandas,5605959
2023-10-25,prophet,92265
2023-10-26,pandas,5707825
2023-10-26,prophet,87750
2023-10-27,pandas,5234394
2023-10-27,prophet,85146
2023-10-28,pandas,3449926
2023-10-28,prophet,43881
2023-10-29,pandas,3399141
2023-10-29,prophet,44557
2023-10-30,pandas,5407862
2023-10-30,prophet,93403
2023-10-31,pandas,5692278
2023-10-31,prophet,74529
2023-11-01,pandas,5303479
2023-11-01,prophet,78638
2023-11-02,pandas,5652940
2023-11-02,prophet,78348
2023-11-03,pandas,5198900
2023-11-03,prophet,68354
2023-11-04,pandas,3445235
2023-11-04,prophet,47107
2023-11-05,pandas,3428108
2023-11-05,prophet,44072
2023-11-06,pandas,5477322
2023-11-06,prophet,81359
2023-11-07,pandas,5813163
2023-11-07,prophet,100690
2023-11-08,pandas,5519162
2023-11-08,prophet,82298
2023-11-09,pandas,5583569
2023-11-09,prophet,68013
2023-11-10,pandas,5171510
2023-11-10,prophet,63572
2023-11-11,pandas,3602273
2023-11-11,prophet,43620
2023-11-12,pandas,3394393
2023-11-12,prophet,44440
2023-11-13,pandas,5310644
2023-11-13,prophet,95072
2023-11-14,pandas,5638125
